id,date,time,milli sec,timestamp1,l_fm_odg_spab11,d_ffb_cfb,d_ffb_ltf,l_fm_odg_ffbmps,steelidtotal,type
197,2019-5-10,18:57:17,750,1557514638,1,1044,580,22.162121,2019-05-10 08:25:18 NO405,
198,2019-5-10,18:57:18,0,1557514638,1,1025,569,22.160913,2019-05-10 08:25:18 NO405,
199,2019-5-10,18:57:18,250,1557514638,1,1005,563,22.159706,2019-05-10 08:25:18 NO405,
200,2019-5-10,18:57:18,500,1557514639,1,1009,557,22.163328,2019-05-10 08:25:18 NO405,
201,2019-5-10,18:57:18,750,1557514639,1,1007,558,22.160913,2019-05-10 08:25:18 NO405,
202,2019-5-10,18:57:19,0,1557514639,1,1031,562,22.160913,2019-05-10 08:25:18 NO405,
203,2019-5-10,18:57:19,250,1557514639,1,994,556,22.15729,2019-05-10 08:25:18 NO405,
204,2019-5-10,18:57:19,500,1557514640,1,1008,556,22.159706,2019-05-10 08:25:18 NO405,
205,2019-5-10,18:57:19,750,1557514640,1,1005,553,22.159706,2019-05-10 08:25:18 NO405,
206,2019-5-10,18:57:20,0,1557514640,1,996,548,22.163328,2019-05-10 08:25:18 NO405,
207,2019-5-10,18:57:20,250,1557514640,1,1002,548,22.159706,2019-05-10 08:25:18 NO405,
208,2019-5-10,18:57:20,500,1557514641,1,1006,551,22.158497,2019-05-10 08:25:18 NO405,
209,2019-5-10,18:57:20,750,1557514641,1,993,550,22.158497,2019-05-10 08:25:18 NO405,
210,2019-5-10,18:57:21,0,1557514641,1,992,550,22.160913,2019-05-10 08:25:18 NO405,
211,2019-5-10,18:57:21,250,1557514641,1,1001,550,22.160913,2019-05-10 08:25:18 NO405,
212,2019-5-10,18:57:21,500,1557514642,1,1002,553,22.159706,2019-05-10 08:25:18 NO405,
213,2019-5-10,18:57:21,750,1557514642,1,1019,554,22.15729,2019-05-10 08:25:18 NO405,
214,2019-5-10,18:57:22,0,1557514642,1,1012,555,22.159706,2019-05-10 08:25:18 NO405,
215,2019-5-10,18:57:22,250,1557514642,1,1009,555,22.159706,2019-05-10 08:25:18 NO405,
216,2019-5-10,18:57:22,500,1557514643,1,1011,554,22.163328,2019-05-10 08:25:18 NO405,
217,2019-5-10,18:57:22,750,1557514643,1,1013,554,22.159706,2019-05-10 08:25:18 NO405,
218,2019-5-10,18:57:23,0,1557514643,1,1022,555,22.158497,2019-05-10 08:25:18 NO405,
219,2019-5-10,18:57:23,250,1557514643,1,1013,556,22.159706,2019-05-10 08:25:18 NO405,
220,2019-5-10,18:57:23,500,1557514644,1,1021,554,22.159706,2019-05-10 08:25:18 NO405,
221,2019-5-10,18:57:23,750,1557514644,1,1022,552,22.160913,2019-05-10 08:25:18 NO405,
222,2019-5-10,18:57:24,0,1557514644,1,1002,551,22.160913,2019-05-10 08:25:18 NO405,
223,2019-5-10,18:57:24,250,1557514644,1,1015,550,22.159706,2019-05-10 08:25:18 NO405,
224,2019-5-10,18:57:24,500,1557514645,1,1008,551,22.158497,2019-05-10 08:25:18 NO405,
225,2019-5-10,18:57:24,750,1557514645,1,1009,548,22.160913,2019-05-10 08:25:18 NO405,
226,2019-5-10,18:57:25,0,1557514645,1,1010,549,22.162121,2019-05-10 08:25:18 NO405,
227,2019-5-10,18:57:25,250,1557514645,1,1005,547,22.160913,2019-05-10 08:25:18 NO405,
228,2019-5-10,18:57:25,500,1557514646,1,1010,548,22.158497,2019-05-10 08:25:18 NO405,
229,2019-5-10,18:57:25,750,1557514646,1,992,549,22.15729,2019-05-10 08:25:18 NO405,
230,2019-5-10,18:57:26,0,1557514646,1,1014,549,22.158497,2019-05-10 08:25:18 NO405,
